subject,number,title,credits,description,prerequisites,corequisites,contact_hours,pathways
BCHM,2354,Biochemical Techniques,3,"Fundamental aspects of biochemical laboratory measurements. Properties of biomolecules and methods for their isolation, separation, detection and quantification. Calculations required to provide quantitative biomolecular data. Common instrumentation in biochemical laboratories, their principles of operation, and their roles in biochemical assays and measuring biochemical interactions. Overview of on-line resources for biochemical information.",CHEM 2514 or CHEM 2535 or CHEM 2565,,"(3 Lec, 3 Crd)",
BCHM,2364,Biochemical Techniques Laboratory,1,"Operation of key equipment found in a biochemistry/molecular biology laboratory (e.g., enzyme kinetics, PCR); analyzes, interpretation and presentation of data acquired in laboratory-based protocols; report of results of experiments; use of laboratory automation for biochemical measurements.",,BCHM 2354,"(3 Lab, 1 Crd)",
BCHM,2974,Independent Study,1-19,,,,Variable credit course,
BCHM,2974H,Independent Study,1-19,Honors section.,,,Variable credit course,
BCHM,2984,Special Study,1-19,,,,Variable credit course,
BCHM,2994,Undergraduate Research,1-19,,,,Variable credit course,
BCHM,3114,Biochemistry for Biotechnology and the Life Sciences,3,"Survey presentation of the basic principles of biochemistry as they apply to biotechnology. Topics covered include protein structure, enzymology, cellular organization, and biochemical regulation. Special emphasis will be given to gene structure, transcription, and translation, cellular organization, and cloning, sequencing, modification and expression of recombinant DNA. Examples will be given of agricultural/medical/industrial applications of cellular and molecular biochemical knowledge. Non-majors only.",CHEM 2536 or CHEM 2566,,"(3 Lec, 3 Crd)",
BCHM,3634,Analysis of Biochemical Literature,3,"Analysis of primary scientific literature using recently published biochemical research articles. Application of the CREATE model (Consider, Read, Elucidate and generate a hypothesis, Analyze and interpret the data, and Think of next Experiment) as a conceptual framework. Evaluation of article data, limitations and broader impacts. Impact of scientific philosophy, experimental design, and peer review in scientific research and publishing. Pre: Junior standing.",( BIOL 2134 or BIOL 2604 ) and CHEM 2535,,"(3 Lec, 3 Crd)",
BCHM,3900,Bridge Experience,0,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",,,(0 Crd),
BCHM,3984,Special Study,1-19,,,,Variable credit course,
BCHM,4054,Genomics,3,"A contemporary analysis of the development, utility and application of high-resolution methods for the study and manipulation of the complete genomes of organisms.  The use of new techniques for genomic, metabolic and protein engineering (functional genomics), including high-throughput methods and nanotechnology, will be emphasized.",BCHM 3114 or BCHM 4116 or BIOL 3774,,"(3 Lec, 3 Crd)",
BCHM,4074,Career Orientation,1,"Examination of various career opportunities for biochemists in industry, academia, medicine and related health sciences. Introduction to resources for locating career opportunities, resume preparation and interview skills.  Restricted to biochemistry majors.  Junior standing required. I",,BCHM 4115,"(1 Lec, 1 Crd)",
BCHM,4115,General Biochemistry,4,"Metabolism and chemistry of carbohydrates, proteins, lipids, and nucleic acids with emphasis on interactions and comparative aspects of microbial, plant, and animal forms. For students in the biochemistry curriculum and other students interested in a foundation course. (Students are required to have at least a C- in both CHEM 2535 and 2536 to be admitted to BCHM 4115 ).",( CHEM 2536 or CHEM 2566 ) and (BCHM 2114 or CHEM 2154 ),,"(4 Lec, 4 Crd)",
BCHM,4116,General Biochemistry,3,"Metabolism and chemistry of carbohydrates, proteins, lipids, and nucleic acids with emphasis on interactions and comparative aspects of microbial, plant, and animal forms. For students in the biochemistry curriculum and other students interested in a foundation course. (Students are required to have at least a C- in both CHEM 2535 and 2536 to be admitted to BCHM 4115 ). I,II",BCHM 4115,,"(3 Lec, 3 Crd)",
BCHM,4124,Laboratory Problems in Biochemistry and Molecular Biology,6,"Presentation of major analytical techniques of importance to biochemistry and molecular biology, including spectrophotometry, electrophoresis, chromatography. Lab study of selected principles and methods used in biochemistry and molecular biology.",BCHM 4115 and ( CHEM 2114 and CHEM 2124 ) or (CHEM 3114 and CHEM 3124),BCHM 4116,"(3 Lec, 9 Lab, 6 Crd)",
BCHM,4354,Biochemical Communication,3,"Exploration of how chemical signals are produced, transported, and influence microbes (Bacterial and unicellular organism (chemotaxis), plants, and animals (olfactory neuroethology). Applications to cell biology, neurobiology, and ecology. Analysis of the interaction between biochemical communication systems and health (diseases). Management, statistical analysis, and interpretation of large datasets related to biochemical communication, using computational approaches.",( BCHM 3114 or BCHM 4115 ) and ( STAT 2004 or STAT 3615 ),,"(3 Lec, 3 Crd)",
BCHM,4554,Biophysics for Biochemistry,3,"Thermodynamics, quantum mechanics, and statistical mechanics in biological systems, with emphasis on theoretical understanding of experimental biophysical methods. Fundamental concepts in protein and nucleic acid folding, dynamics from bond vibrations to kinetics and diffusion, molecular orbital theory, protein-ligand interactions and associated molecular visualization tools. Computational modeling, calculations, and simulation using both quantum and classical mechanics.",BCHM 3114 or BCHM 4115,,"(3 Lec, 3 Crd)",
BCHM,4754,Internship,1-19,,,,Variable credit course,
BCHM,4784,Applications in Molecular Life Science,3,"Synthesis and application of biochemistry, cell biology, genetics, genomics, physiology, immunology concepts and techniques to address medical and agricultural problems. Gene characterization and manipulation, protein-based drugs, diagnostics, vaccines, transgenic plants/animals.  Analysis, critique, application of research in molecular life science.",( BCHM 3114 and BCHM 3124 and BIOL 3774 and BIOL 4774 ) or ( BCHM 4116 and BCHM 4124 ),,"(3 Lec, 3 Crd)",
BCHM,4974,Independent Study,1-19,,,,Variable credit course,
BCHM,4974H,Independent Study,1-19,Honors section.,,,Variable credit course,
BCHM,4984,Special Study,1-19,,,,Variable credit course,
BCHM,4994,Undergraduate Research,1-19,,,,Variable credit course,
BCHM,4994H,Undergraduate Research,1-19,Honors section.,,,Variable credit course,
BDS,2005,Fundamentals of Behavioral Decision Science,3,"Introduction to the major scientific models of decision making and applications to real-life situations. Economic models highlighting optimal choices and psychological models highlighting decision making tendencies. 2005: Emphasis on individual decision making in non-strategic choice settings. Probabilistic reasoning and economic model of rationality. Violations of the rational choice model, and psychological, physiological, and statistical models that accommodate this behavior. Applications to social settings and longer periods of time. Common ethical dilemmas and making ethical choices as an individual. 2006: Individual decision making in interactive and strategic choice settings as well as group decision making. Simultaneous, sequential, dynamic, repeated, and incomplete information games. Preferences for fairness, reciprocity, and cultural differences in interactions. Limitations when making group decisions. Ethical reasoning and computational analysis of strategy. Applications to voting,
negotiations, and cooperation.",,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 10 Ethical Reasoning"
BDS,2006,Fundamentals of Behavioral Decision Science,3,"Introduction to the major scientific models of decision making and applications to real-life situations. Economic models highlighting optimal choices and psychological models highlighting decision making tendencies. 2005: Emphasis on individual decision making in non-strategic choice settings. Probabilistic reasoning and economic model of rationality. Violations of the rational choice model, and psychological, physiological, and statistical models that accommodate this behavior. Applications to social settings and longer periods of time. Common ethical dilemmas and making ethical choices as an individual. 2006: Individual decision making in interactive and strategic choice settings as well as group decision making. Simultaneous, sequential, dynamic, repeated, and incomplete information games. Preferences for fairness, reciprocity, and cultural differences in interactions. Limitations when making group decisions. Ethical reasoning and computational analysis of strategy. Applications to voting,
negotiations, and cooperation.",BDS 2005,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 10 Ethical Reasoning"
BDS,3134,Choice and Behavior,3,"Theories of rational choice, utility, and revealed preference. Intertemporal decision problems and choice under uncertainty with applications to insurance and investments. Behavioral regularities and evidence of violations of rational choice theory. Behavioral models that accommodate this behavior. Applications of behavioral models to economic problems, ethical questions, policy, and organization design. Pre: Sophomore standing.",ECON 2005 or BDS 2005,,"(3 Lec, 3 Crd)","3 Reasoning in Social Sciences, 10 Ethical Reasoning"
BDS,4194,Predicting Social Behavior,3,"Overview of the process of predicting human choices, preferences, and actions in social contexts. Applications of measurement theory to data preparation, formatting, and scaling. Implications of psychological biases for data transformation and cleaning. Theory-guided predictor variable selection and development. Applications of machine learning to social settings. Evaluating prediction quality, bias, and generalizability. Developing predictive models in software. Ethical and societal implications of predicting human behavior.",( PSYC 1094 or ECON 3254 ) and ( BIT 2405 or STAT 2004 or STAT 3604 or STAT 3005 or STAT 3615 ),,"(3 Lec, 3 Crd)","5A Quant & Comp Thnk Adv., 10 Ethical Reasoning"
BDS,4864,Developing Behavioral Science Policies  and  Interventions,3,"Senior-level capstone course that involves producing and presenting original behavioral experimental research, supported by statistical analysis techniques suitable for drawing conclusions from behavioral experimental data. Design, statistical analysis, and evaluation of applied behavioral policies, interventions, or experiments on decision-making behavior. Ethical and societal implications of designing and testing behavioral interventions in the field and conducting experiments and behavioral interventions on human populations.",,ECON/ BDS 3134 or PPE 2894 or SOC 2004,"(3 Lec, 3 Crd)","5A Quant & Comp Thnk Adv., 10 Ethical Reasoning"
BIOL,1004,Biology Orientation Seminar,1,An introduction to academic and career planning for majors in Biology and students who may be considering Biology as a major.,,,"(1 Lec, 1 Crd)",
BIOL,1014,Introduction to Biology,3,"Introductory biology for non-life science majors. Topics covered include the hierarchy of living systems, cell structure, physiology, and reproduction, Mendelian genetics, molecular genetics, evolution, microbial diversity, plant anatomy and physiology, animal anatomy and physiology, and ecological systems. Ethical aspects of current research in these areas. Partially duplicates 1005, 1006, 1105, 1106.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1024,"Cancer: Causes, Treatments, Costs",3,"Introduction to risk factors and biological mechanisms associated with cancer.  Current approaches to cancer prevention, diagnosis, and treatment.  Personal, socioeconomic, and global aspects of cancer.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 11 Intercultural&Global Aware."
BIOL,1034,Biology of Sex,3,"Sexual reproduction in living organisms from a scientific perspective including morphology, physiology, behavior, development and evolution.  Biological basis and ethical considerations of human societal issues including contraception, homosexuality, and gender/sex.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1054,Human Biology: Concepts and Current Issues,3,"Survey of human biology, including physiology, genetics, evolution, and ecology. Focus on homeostasis, including factors and choices that disrupt homeostasis and health. Examination of technological advances and ethical issues associated with the biology of humans. Personal and societal choices that impact human ecology.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1064,Plants and Civilization,3,"Survey of basic plant biology. Critical roles of plants as food, drugs, textiles, other products. Examination of the global, historical, and cultural links between plants and humans. Discussion of current topics, including biotechnology, global change, biodiversity loss, nutrition and drug addiction.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 11 Intercultural&Global Aware."
BIOL,1074,How Animals Think,3,"Overview of scientific research on animal cognition and behavior from perspectives in biology, psychology, and neuroscience. Study and application of scientific approaches to the study of animal cognition and behavior in the context of personal, political, and societal decision making. Considers the influence of animal cognition and animal ethics on decisions about human-animal interactions at a personal and societal scale ranging from decisions about food supply to conservation. Provides the framework to evaluate animal personality, emotion, consciousness, and rights. Addresses how cultural, social and political views influence scientific research on animal cognition. Consideration of bidirectional effects of human-animal interactions on One Health and animal welfare.",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1105,Principles of Biology,3,"Introduction to the science of biology. 1105: living systems; biological molecules; cell structure, function, and reproduction; cellular energetics and metabolism; expression and inheritance of genetic information; evolution; ethical implications of research and discovery in these areas. 1106: animal and plant anatomy and physiology, ecology, and animal behavior; ethical implications of research and discovery in these areas. (1105 duplicates 1005, 1014; 1106 duplicates 1006, 1014. Credit for 1014 will be disallowed if 1105 or 1106 are taken after earning credit for 1014)",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1106,Principles of Biology,3,"Introduction to the science of biology. 1105: living systems; biological molecules; cell structure, function, and reproduction; cellular energetics and metabolism; expression and inheritance of genetic information; evolution; ethical implications of research and discovery in these areas. 1106: animal and plant anatomy and physiology, ecology, and animal behavior; ethical implications of research and discovery in these areas. (1105 duplicates 1005, 1014; 1106 duplicates 1006, 1014. Credit for 1014 will be disallowed if 1105 or 1106 are taken after earning credit for 1014).",,,"(3 Lec, 3 Crd)","4 Reasoning in Natural Sci., 10 Ethical Reasoning"
BIOL,1115,Principles of Biology Laboratory,1,"Emphasizes biological principles through investigative exercises and collaborative learning.  1115:  cell chemistry, physiology and reproduction and genetics; 1116: plant and animal form and function, and ecology.  Primarily for students majoring in the life sciences. (Duplicates 1015 1016, 1125, 1126).",,BIOL 1105,"(3 Lab, 1 Crd)",
BIOL,1116,Principles of Biology Laboratory,1,"Emphasizes biological principles through investigative exercises and collaborative learning.  1115:  cell chemistry, physiology and reproduction and genetics; 1116: plant and animal form and function, and ecology.  Primarily for students majoring in the life sciences.",,BIOL 1106,"(3 Lab, 1 Crd)",
BIOL,1135,Phage Hunters,2,"Isolation, identification, and characterization of bacteriophages from environmental sources. 1135: Bacteriophage DNA purification, genomic analysis, imaging, and sequencing. 1136: Bioinformatic characterization and annotation of sequenced bacteriophage genomes, comparative genomic analysis, submission of bacteriophage sequence data to public databases.",,,"(6 Lab, 2 Crd)",
BIOL,1136,Phage Hunters,2,"Isolation, identification, and characterization of bacteriophages from environmental sources. 1135: Bacteriophage DNA purification, genomic analysis, imaging, and sequencing. 1136: Bioinformatic characterization and annotation of sequenced bacteriophage genomes, comparative genomic analysis, submission of bacteriophage sequence data to public databases.",BIOL 1135,,"(6 Lab, 2 Crd)",
BIOL,1214,Careers in Medicine,1,"For students considering a career in health care. Investigation of various health care professions, including requirements for additional education and the professional and personal expectations characteristic of these professions. Introduction to biomedical ethics and health policy. Options for financing professional school. How to become a competitive applicant.",,,"(1 Lec, 1 Crd)",
BIOL,1984,Special Study,1-19,,,,Variable credit course,
BIOL,2004,Genetics,3,"Mendelian transmission, chromosome behavior and organization, gene and chromosome mutation, genetic properties of nucleic acids, gene expression and development, DNA technology.",( BIOL 1105 or ISC 2105 ) and BIOL 1106 and ( CHEM 1036 or CHEM 1056 or CHEM 1056H or CHEM 1016 or ISC 2105 ),,"(3 Lec, 3 Crd)",
BIOL,2124,Cell and Molecular Biology for Engineers,2,"Composition, structure and function of cells; fundamentals of gene expressions, cell physiology, cellular movement and reproduction; stem cells and tissue formation; synthetic biology and applied cell and molecular biology. Not for Biological Sciences majors.",ENGR 2164 or COS 2164,,"(2 Lec, 2 Crd)",
BIOL,2134,Cell Function and Differentiation,3,"Fundamental mechanisms essential for cell function.  Methods used to study cells.  Cellular structure and physiology, energy production, cell survival and reproduction.  Cell interactions and communication, stem cells, cell differentiation, tissue formation.",BIOL 2004,,"(3 Lec, 3 Crd)",
BIOL,2304,Plant Biology,3,"Introductory botany.  Form, growth, function, reproduction, and ecological adaptations of major groups of plants.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Crd)",
BIOL,2404,Biotechnology in A Global Society,3,"Introduction to the world-wide impact of biotechnology and molecular biology, including applications to plants, animals, and microorganisms.  Explores basic concepts of genetic engineering, scientific and ethical issues, and public concerns related to biotechnology.  Topics include: environmental release of genetically engineering organisms, bioremediation, safety of genetically engineered food products, transgenic plants and animals, gene therapy, and genetic screening.",(BIOL 1005 and BIOL 1006) or ( BIOL 1105 and BIOL 1106 ) or (BIOL 1205H and BIOL 1206H) and CHEM 1015 and CHEM 1016,,"(3 Lec, 3 Crd)",
BIOL,2504,General Zoology,3,"Morphology, features, adaptations, and ecology of major animal groups, emphasizing major patterns of evolutionary change.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Crd)",
BIOL,2604,General Microbiology,3,"Microbial structure, function, metabolism, genetics and ecology.  The role of microorganisms in host/parasite relationships will be emphasized.",( BIOL 1105 or ISC 2105 ) and BIOL 1106 and ( CHEM 1036 or CHEM 1056 or CHEM 1056H or ISC 2105 ),,"(3 Lec, 3 Crd)",
BIOL,2614,General Microbiology Laboratory,1-2,"Introduction to microbiological techniques and procedures. Aseptic technique and safe handling.  Culture, characterization, and identification of microorganisms.",( BIOL 1105 or ISC 2105 ) and BIOL 1106 and ( CHEM 1036 or CHEM 1056 or CHEM 1056H or ISC 2105 ),BIOL 2604,"(2-4 Lab, 1-2 Crd)",
BIOL,2704,Evolutionary Biology,3,"Evolutionary mechanisms, systematic principles, and theories of the origin and evolution of life.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Crd)",
BIOL,2804,Ecology,3,"Fundamental interaction of organisms with the biotic and abiotic components of ecosystems.  Topics will include: physical environment and organismic interactions, concepts of population ecology and community ecology, ecosystems interactions, and environmental problems.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Crd)",
BIOL,2964,Field Study,1-19,,,,Variable credit course,
BIOL,2974,Independent Study,1-19,,,,Variable credit course,
BIOL,2974H,Independent Study,1-19,Honors section.,,,Variable credit course,
BIOL,2984,Special Study,1-19,,,,Variable credit course,
BIOL,2984D,Special Study,1-19,,,,Variable credit course,4 Reasoning in Natural Sci.
BIOL,2994,Undergraduate Research,1-19,,,,Variable credit course,
BIOL,2994H,Undergraduate Research,1-19,,,,Variable credit course,
BIOL,3014,Insect Biology,2,"Insect biology provides an introduction to the science of entomology.  The course covers the diversity of insects, their biology and behavior, the importance of insects and insect control programs in agriculture, and the effects that insects have had on human history and culture.  Laboratory (3024) is optional.",(BIOL 1005 and BIOL 1006) or ( BIOL 1105 and BIOL 1106 ) or (BIOL 1205H and BIOL 1206H),,"(2 Lec, 2 Crd)",
BIOL,3024,Insect Biology Laboratory,2,"Taxonomy and ecology of insects commonly encountered. Identification of all orders and many common families. Ecological attributes of each taxon, including food, habitat, life cycle, and behavior.  An insect collection is required.",(BIOL 1005 and BIOL 1006) or ( BIOL 1105 and BIOL 1106 ) or (BIOL 1205H and BIOL 1206H),BIOL 3014,"(1 Lec, 3 Lab, 2 Crd)",
BIOL,3104,Cell and Molecular Biology Laboratory,1,"Introduction to methods used to study prokaryotic and eukaryotic cells. Recombinant DNA, protein expression and purification, the polymerase chain reaction, bioinformatics, and microscopy.",BIOL 2134,,"(3 Lab, 1 Crd)",
BIOL,3134,Human Genetics,3,"Principles of genetic analysis in humans with emphasis on genetic diseases of humans; methods of karyotyping human chromosomes; methods of pedigree and genetic analysis of humans; principles, techniques, and analysis of twin studies in humans; techniques used to identify and characterize normal and abnormal chromosomes; principles and methods of DNA fingerprint analysis of humans.",BIOL 2134,,"(3 Lec, 3 Crd)",
BIOL,3204,Plant Taxonomy,3,"Systematic survey of vascular plants, emphasizing identification, terminology, classification, evolutionary relationships.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(2 Lec, 3 Lab, 3 Crd)",
BIOL,3254,Medical and Veterinary Entomology,3,"An introduction to the roles of insects and other arthropods in the direct causation of disease in humans and animals, and as vectors in the transmission of disease organisms. The epidemiology and replication cycles of vector-borne pathogens with major medical and veterinary importance will be examined.  Information will be provided on the biology and behavior of disease vectors and external parasites, and on the annoying and venomous pests of humans and animals.  Mechanisms of control will be discussed",(BIOL 1005 and BIOL 1006) or ( BIOL 1105 or (BIOL 1205H and BIOL 1206H),,"(3 Lec, 3 Crd)",
BIOL,3264,Medical and Veterinary Entomology Laboratory,1,Taxonomy and anatomy of insects and arthropods of medical and veterinary importance.  Examination of feeding behavior and ecology.  Emphasis on the mechanism of injury or pathogen transmission by each group.,( BIOL 1105 and BIOL 1106 ) or (BIOL 1005 and BIOL 1006) or (BIOL 1205H and BIOL 1206H),BIOL 3254,"(3 Lab, 1 Crd)",
BIOL,3404,Introductory Animal Physiology,3,"A comparative systems level approach to the physiology of animals, emphasizing vertebrates: metabolic, temperature, osmotic, and ionic regulation; function of respiratory, circulatory, digestive, muscle, nervous, and locomotory systems; endocrine regulation and biological rhythms. Must have prerequisites or instructors permission.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Crd)",
BIOL,3454,Introductory Parasitology,4,"Ecology, taxonomy, morphology, life cycles, pathogenesis, and host-parasite relationships of parasitic eukaryotes.",( BIOL 1105 or ISC 2105 ) and BIOL 1106,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,3514,Introduction to Histology,3,Overview of tissue structure and function in the human body; microscopic examination of tissue sections; organization of tissues in different organ systems; histopathology of tissues and organs.,BIOL 2134,,"(2 Lec, 3 Lab, 3 Crd)",
BIOL,3604,Food Microbiology,4,"Role of microorganisms in foodborne illness, food quality, spoilage, and preservation.  Control of microorganisms in foods.  Methods to enumerate, identify, and characterize microorganisms in foods.",BIOL 2604 and BIOL 2614,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,3764,Careers in Microbiology,3,"Contemporary research topics in microbiology, methods of research data analysis, the research publication process, research presentation and interview skills, career paths for microbiology graduates, preparation for graduate school, preparation for entry into the job market.",BIOL 2604,,"(3 Lec, 3 Crd)",
BIOL,3774,Molecular Biology,3,"Advanced study of the molecular biology of prokaryotic and eukaryotic cells, including mechanisms of gene expression and regulation, relative merits of experimental model systems, and practical applications in agriculture and medicine.",BIOL 2134 or ALS 3104,,"(3 Lec, 3 Crd)",
BIOL,3804,Principles of Biology Teaching Assistant,2,"For undergraduate teaching assistants (UTAs) facilitating BIOL 1105 or 1106 class sections that utilize active-learning pedagogies and require facilitation of in-class learning activities. Content and practice of teaching strategies and professionalism in the classroom. Supervision by departmental faculty or staff. Selection by Principles of Biology instructional team. May be repeated four times with different content for a maximum of eight credits. Junior Standing, overall minimum GPA of 3.0.",BIOL 1105 and BIOL 1106,,"(6 Lab, 2 Crd)",
BIOL,3814,Careers In Biological Sciences,1,"Exploration of career opportunities in the biological sciences, including employment and further education. Professional development activities, including resumes, career fairs, networking, preparation for interviews, ethics, and assessment and comparison of job offers. Does not count for Biological Sciences or Microbiology elective credit. Pre: junior standing",,,"(1 Lec, 1 Crd)",
BIOL,3954,Study Abroad,1-6,,,,"(1-6 Lec, 1-6 Crd)",
BIOL,3984,Special Study,1-19,,,,Variable credit course,
BIOL,4004,Freshwater Ecology,4,"Interactions of physical, chemical, and biological properties of freshwater ecosystems.",BIOL 2804 or BIOL 2804H,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4014,Environmental Toxicology,2,"Discussion of ecotoxicological and philosophical issues in the development of standards for control of toxic chemicals in freshwater, including site-specific examples, application of current control methods, recovery of damaged ecosystems, and government regulations.",BIOL 2804,,"(2 Lec, 2 Crd)",
BIOL,4104,Developmental Biology,3,"Morphological, physiological, and molecular events in embryological and developmental systems, including regulation at the level of transcription, translation, and enzyme or hormone activation.",BIOL 2134,,"(3 Lec, 3 Crd)",
BIOL,4114,Global Change Ecology,3,"Effects of human alteration of climate, landscapes and biogeochemical cycling on ecological structure and functioning at the global scale.  Influence of global changes on ecosystem processes and biodiversity with paleo- and contemporary examples.  Current and future potential feedbacks between biological systems and the global environment.",( BIOL 2704 or BIOL 2704H) and BIOL 2804,,"(3 Lec, 3 Crd)",
BIOL,4134,Evolutionary Genetics,3,"Genetic variation, Hardy-Weinberg equilibrium, agents of change in gene frequencies, molecular  evolution, mechanisms of speciation.  Comparison of theoretical models with natural and laboratory populations.",BIOL 2004 and ( BIOL 2704 or BIOL 2704H),,"(3 Lec, 3 Crd)",
BIOL,4164,Environmental Microbiology,3,"Ecology, physiology, and diversity of soil and aquatic microorganisms; incorporates the significance of these topics within the context of environmental applications such as bioremediation, wastewater treatment, control of plant- pathogens in agriculture, and pollution abatement in natural systems.  The laboratory portion of the course will stress methodology development, isolation and characterization of microorganisms from natural and engineered systems, and examination of the roles of microorganisms in biogeochemical cycling.",BIOL 2604,,"(2 Lec, 3 Lab, 3 Crd)",
BIOL,4204,Advanced Principles of Biology Teaching Assistant,3,"For experienced Principles of Biology Undergraduate Teaching Assistants (UTAs) facilitating instruction of BIOL 1105 or 1106 class sections that utilize active-learning strategies. Collaboratively plan, present, and run activities to train first-time UTAs in the skills needed to support student success in the Principles of Biology classroom. Prepare first-time UTAs to guide active learning exercises, facilitate student teamwork, communicate scientific information, respond to student questions, provide feedback on student activities, and promote student engagement. Model professional and ethical conduct. Enrollment requires approval of Principles of Biology instructional team. May be repeated three times with different content for a maximum of nine credits. Pre: Senior standing.",BIOL 3804,,"(9 Lab, 3 Crd)",
BIOL,4304,Field Ecology,4,"Student-centered, hands-on experience in ecological research. Field experiences in local ecosystems, including weekend field trips. Development of research questions and design of independent projects. Data collection, data management, statistical analysis and data visualization, interpretation of empirical evidence. Ethical considerations for collaborative research. Communication of results through oral presentations and scientific writing.",BIOL 2804 and STAT 3615,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4314,Plant Ecology,4,"Introduction to ecology of terrestrial plants including major plant functional types, ecophysiological aspects of functional types, molecular plant ecology, behavior of populations, responses of plant communities to disturbance, and vegetation analysis.  Laboratory covers methods for measuring and analyzing natural vegetation, and setting up field and greenhouse experiments.",( BIOL 2304 or BIOL 2804 or FOR 3314) or HORT 2304,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4334,Chemical Ecology,3,"Chemical interactions between organisms with emphasis on the plant biosphere. Fundamental concepts, theories, and general methodology of chemical ecology: mechanisms of chemically- mediated interactions; and engineering of natural chemical defenses in sustainable agriculture.",( BIOL 2304 or BIOL 2804 or FOR 2314 or BCHM 4115 ) and CHEM 1035,,"(3 Lec, 3 Crd)",
BIOL,4354,Aquatic Entomology,4,"Biology and taxonomy of insects and other macroinvertebrates most commonly encountered in freshwater environments. Selected aspects of biology, such as habitat, feeding, locomotion, and life history. Identification of individual taxa, mostly at family and genus level. Significance of these organisms in aquatic ecology, pollution monitoring, and natural resource management.",(BIOL 1005 and BIOL 1006) and (BIOL 1015 and BIOL 1016) or ( BIOL 1105 and BIOL 1106 and BIOL 1115 and BIOL 1116 ),,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4404,Ornithology,4,"Biology of birds, including functional anatomy, systematics, evolutionary history, behavior, and ecology. Laboratory on systematics, anatomy, and field experience in the areas of behavior and ecology.",BIOL 2804,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4454,Invertebrate Zoology,4,"Identification, morphology, evolutionary relationships, and natural history of free-living invertebrates, excluding insects.",BIOL 2504,,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4474,Behavioral Ecology,3,"Ecological and evolutionary bases of animal behavior. Emphasis on wild animals in natural environments. Genetic, developmental, neurobiological, and physiological mechanisms of animal behavior. How animals find food, move, communicate, reproduce, and care for young. Applications of behavioral ecology to human behavior.",BIOL 2504 or BIOL 2804,,"(3 Lec, 3 Crd)",
BIOL,4484,Freshwater Biomonitoring,4,"Concepts and practices of using macroinvertebrates and fish to monitor the environmental health of freshwater ecosystems. Effects of different types of pollution and environmental stress on assemblages of organisms and underlying ecological principles. Role of biological studies in environmental regulation. Study design, field and laboratory methods, data analysis and interpretation, verbal and written presentation of results.",( BIOL 2804 ) and ( BIOL 4004 or BIOL 4354 or ENT 4354 or FIW 4424 or FIW 4614 ),,"(3 Lec, 3 Lab, 4 Crd)",
BIOL,4554,Neurochemical Regulation,3,Neurochemical transmission within the vertebrate brain will be examined.  Emphasis will be placed on the chemical coding underlying the control of various behaviors and how these systems can be modified by various drugs or diet.,( ALS 2304 or BIOL 3404 ) and CHEM 2535,,"(3 Lec, 3 Crd)",
BIOL,4564,Infectious Disease Ecology,3,"Principles of infectious disease dynamics from ecological and evolutionary perspectives. Examines a variety of wildlife hosts and disease-causing agents (bacteria, viruses, and parasites) using the framework of agent-host- environment interactions. Selective coverage of specific host and pathogen models to illustrate underlying principles of wildlife disease emergence, maintenance, and spread, as well as connections between wildlife and human health.",( BIOL 2704 or BIOL 2704H) and ( BIOL 2804 or BIOL 2804H),,"(3 Lec, 3 Crd)",
